COD_UPZ,GRUPOS
UPZ100,1
UPZ83,1
UPZ107,1
UPZ101,1
UPZ91,1
UPZ81,1
UPZ108,1
UPZ75,1
UPZ22,1
UPZ114,1
UPZ103,1
UPZ105,1
UPZ88,1
UPZ27,1
UPZ72,1
UPZ15,1
UPZ16,1
UPZ21,1
UPZ89,1
UPZ106,1
UPZ86,1
UPZ82,1
UPZ99,1
UPZ109,1
UPZ90,1
UPZ33,1
UPZ111,1
UPZ102,1
UPZ45,1
UPZ93,1
UPZ37,1
UPZ49,1
UPZ19,1
UPZ24,1
UPZ23,1
UPZ110,1
UPZ104,1
UPZ31,1
UPZ68,1
UPZ64,1
UPZ71,2
UPZ29,2
UPZ76,2
UPZ3,2
UPZ80,2
UPZ67,2
UPZ63,2
UPZ55,2
UPZ51,2
UPZ60,2
UPZ56,2
UPZ65,2
UPZ2,2
UPZ17,2
UPZ18,2
UPZ26,2
UPZ115,2
UPZ50,2
UPZ20,2
UPZ79,3
UPZ12,3
UPZ10,3
UPZ59,3
UPZ58,3
UPZ43,3
UPZ47,3
UPZ48,3
UPZ113,3
UPZ44,3
UPZ13,3
UPZ70,3
UPZ36,3
UPZ66,3
UPZ57,3
UPZ52,3
UPZ11,3
UPZ14,3
UPZ73,3
UPZ74,3
UPZ25,3
UPZ97,3
UPZ98,3
UPZ96,3
UPZ92,3
UPZ94,3
UPZ9,3
UPZ28,3
UPZ30,3
UPZ116,3
UPZ35,3
UPZ38,3
UPZ41,3
UPZ40,3
UPZ34,3
UPZ84,3
UPZ85,3
UPZ32,3
UPZ95,3
UPZ87,3
UPZ1,3
UPZ46,3
UPZ112,3
UPZ78,3
UPZ117,3
UPZ77,4
UPZ54,4
UPZ39,4
UPZ62,5
UPZ53,5
UPZ69,5
UPZ61,5
UPZ42,5
UPR3,5
UPR4,5
UPR5,5
UPR1,5
