COD_UPZ,GRUPOS
UPZ100,Mañana
UPZ83,Mañana
UPZ107,Mañana
UPZ101,Mañana
UPZ91,Mañana
UPZ81,Mañana
UPZ108,Mañana
UPZ75,Mañana
UPZ22,Mañana
UPZ114,Mañana
UPZ103,Mañana
UPZ105,Mañana
UPZ88,Mañana
UPZ27,Mañana
UPZ72,Mañana
UPZ15,Mañana
UPZ16,Mañana
UPZ21,Mañana
UPZ89,Mañana
UPZ106,Mañana
UPZ86,Mañana
UPZ82,Mañana
UPZ99,Mañana
UPZ109,Mañana
UPZ90,Mañana
UPZ33,Mañana
UPZ111,Mañana
UPZ102,Mañana
UPZ45,Tarde
UPZ93,Tarde
UPZ37,Tarde
UPZ49,Tarde
UPZ19,Tarde
UPZ24,Tarde
UPZ23,Tarde
UPZ110,Tarde
UPZ104,Tarde
UPZ31,Tarde
UPZ68,Tarde
UPZ64,Tarde
UPZ71,Tarde
UPZ29,Tarde
UPZ76,Tarde
UPZ3,Tarde
UPZ80,Tarde
UPZ67,Tarde
UPZ63,Tarde
UPZ55,Tarde
UPZ51,Tarde
UPZ60,Tarde
UPZ56,Tarde
UPZ65,Tarde
UPZ2,Tarde
UPZ17,Tarde
UPZ18,Tarde
UPZ26,Tarde
UPZ115,Tarde
UPZ50,Tarde
UPZ20,Tarde
UPZ79,Tarde
UPZ12,Tarde
UPZ10,Tarde
UPZ59,Tarde
UPZ58,Tarde
UPZ43,Tarde
UPZ47,Tarde
UPZ48,Tarde
UPZ113,Tarde
UPZ44,Tarde
UPZ13,Tarde
UPZ70,Tarde
UPZ36,Tarde
UPZ66,Tarde
UPZ57,Tarde
UPZ52,Tarde
UPZ11,Tarde
UPZ14,Tarde
UPZ73,Tarde
UPZ74,Tarde
UPZ25,Tarde
UPZ97,Tarde
UPZ98,Tarde
UPZ96,Tarde
UPZ92,Tarde
UPZ94,Tarde
UPZ9,Tarde
UPZ28,Tarde
UPZ30,Tarde
UPZ116,Tarde
UPZ35,Tarde
UPZ38,Tarde
UPZ41,Tarde
UPZ40,Tarde
UPZ34,Tarde
UPZ84,Tarde
UPZ85,Tarde
UPZ32,Tarde
UPZ95,Tarde
UPZ87,Tarde
UPZ1,Tarde
UPZ46,Tarde
UPZ112,Tarde
UPZ78,Tarde
UPZ117,Noche
UPZ77,Noche
UPZ54,Noche
UPZ39,Noche
UPZ62,Noche
UPZ53,Noche
UPZ69,Noche
UPZ61,Noche
UPZ42,Noche
UPR3,Noche
UPR4,Noche
UPR5,Noche
UPR1,Noche
